alpha,mean_relative_error,mean_cosine_similarity
0.6,0.161914309841906,0.9842946044566597
0.7,0.14737083394908415,0.9869800828610327
0.8,0.12770213271966943,0.9903212204708801
0.9,0.11502370750808856,0.992205895619717
1.0,0.11835493633010645,0.9914886871336396
1.1,0.1287420777980183,0.9894579224703502
1.2,0.1383275370178705,0.9872913945428164
1.3,0.14325056376302134,0.9861946346638487
1.4,0.1420311282657921,0.9864493485029474
1.5,0.13722378112686845,0.9875329053407036
1.6,0.1318548708620547,0.9889291294703199
1.7,0.12768164961276304,0.9902226501537684
1.8,0.12472024170714126,0.9912592513621776
1.9,0.12282492491623281,0.9919565436753005
2.0,0.12218075057501865,0.9922550737608532
