class,alpha,transform,category,relative_error,cosine_similarity
butterfly,1.1,scale_1.2,scale,0.2576217305932463,0.968650816537595
butterfly,1.2,translation_x10,translation,0.030221028494487878,0.9995436590950345
butterfly,1.2,translation_y10,translation,0.1196379854848908,0.9928333897528078
butterfly,1.2,rotation_10,rotation,0.3556372249573208,0.9346829123086265
butterfly,1.2,rotation_20,rotation,0.41862920820231936,0.908168517570071
butterfly,1.2,scale_0.8,scale,0.19287539651304836,0.9812671739472442
butterfly,1.2,scale_1.2,scale,0.2403534627609987,0.9729955073494345
butterfly,1.3,translation_x10,translation,0.03312607968360023,0.999451979741506
butterfly,1.3,translation_y10,translation,0.09892629997524129,0.9950951591910082
butterfly,1.3,rotation_10,rotation,0.31864168101541973,0.94829651043263
butterfly,1.3,rotation_20,rotation,0.35990656925558673,0.933170053517982
butterfly,1.3,scale_0.8,scale,0.36212407155426357,0.935273984239434
butterfly,1.3,scale_1.2,scale,0.2297242855247372,0.9752303759665565
butterfly,1.4,translation_x10,translation,0.03283831255270794,0.9994617468314919
butterfly,1.4,translation_y10,translation,0.08877847864359037,0.9960708943644498
butterfly,1.4,rotation_10,rotation,1.9678110819420354,0.44268294780997003
butterfly,1.4,rotation_20,rotation,2.0182799078800384,0.4041911170348451
butterfly,1.4,scale_0.8,scale,5.052783297632461,0.17552184885540753
butterfly,1.4,scale_1.2,scale,0.235291343710182,0.9738661715142517
butterfly,1.5,translation_x10,translation,0.02595851032566857,0.9996680226430242
butterfly,1.5,translation_y10,translation,0.08390549151716309,0.9965198870159979
butterfly,1.5,rotation_10,rotation,17.844439019658974,0.0597615530600227
butterfly,1.5,rotation_20,rotation,19.50419086206614,0.05525316423487031
butterfly,1.5,scale_0.8,scale,49.449430254639054,0.01401086713922601
butterfly,1.5,scale_1.2,scale,0.2407419986219067,0.9726089666550406
butterfly,1.6,translation_x10,translation,0.02205113480755304,0.9997721511436221
butterfly,1.6,translation_y10,translation,0.08194765008014175,0.9966943342900654
butterfly,1.6,rotation_10,rotation,114.20803821083854,0.019189363493996955
butterfly,1.6,rotation_20,rotation,124.33383400097992,0.02170686542885245
butterfly,1.6,scale_0.8,scale,372.57107981394574,0.002965511178974813
butterfly,1.6,scale_1.2,scale,0.23595883674464385,0.9740346244747308
butterfly,1.7,translation_x10,translation,0.022813675754413988,0.9997596264923319
butterfly,1.7,translation_y10,translation,0.0773153721930634,0.9970529615099981
butterfly,1.7,rotation_10,rotation,596.1253091939012,0.015479521490802388
butterfly,1.7,rotation_20,rotation,629.3157178975547,0.019255637269777654
butterfly,1.7,scale_0.8,scale,2431.1831589401645,0.00043092979358047985
butterfly,1.7,scale_1.2,scale,0.2378382199704919,0.9744901526518037
butterfly,1.8,translation_x10,translation,0.112346135094276,0.9936751247612055
butterfly,1.8,translation_y10,translation,0.09020578279126348,0.9959485403743817
butterfly,1.8,rotation_10,rotation,2704.5996836730046,0.01146817718809531
butterfly,1.8,rotation_20,rotation,2740.2978145888414,0.01954010683377479
butterfly,1.8,scale_0.8,scale,14315.034698081849,0.03310123366508974
butterfly,1.8,scale_1.2,scale,3.2113466703534885,0.31063376681373805
butterfly,1.9,translation_x10,translation,31.974808700416673,0.008905155372019241
butterfly,1.9,translation_y10,translation,0.7093467043039055,0.7048776979487137
butterfly,1.9,rotation_10,rotation,7798.949028955227,0.007580117606657795
butterfly,1.9,rotation_20,rotation,7574.804839945832,0.013301806777710656
butterfly,1.9,scale_0.8,scale,54680.922385479964,0.4775861314534889
butterfly,1.9,scale_1.2,scale,36.2828687513721,0.01930404372011524
butterfly,2.0,translation_x10,translation,984.2001731892161,0.025612410436711534
butterfly,2.0,translation_y10,translation,0.9926554586537499,0.12097757218061833
butterfly,2.0,rotation_10,rotation,4989.811799452662,0.00035146016031686585
butterfly,2.0,rotation_20,rotation,4691.63496718338,0.0022239703791728203
butterfly,2.0,scale_0.8,scale,325850.88404067745,0.1226466718675707
butterfly,2.0,scale_1.2,scale,56.398118992923,-0.005826149671433913
